COUNTRY,Country,VAR,Variable,CUR,Currency,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
BEL,Belgium,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2013,2013,EUR,Euro,6,Millions,,,16420,,
BEL,Belgium,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2014,2014,EUR,Euro,6,Millions,,,17922,,
BEL,Belgium,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2008,2008,EUR,Euro,6,Millions,,,1268,,
BEL,Belgium,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2009,2009,EUR,Euro,6,Millions,,,1333,,
BEL,Belgium,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2010,2010,EUR,Euro,6,Millions,,,1571,,
BEL,Belgium,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2011,2011,EUR,Euro,6,Millions,,,1613,,
BEL,Belgium,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2012,2012,EUR,Euro,6,Millions,,,1699,,
BEL,Belgium,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2013,2013,EUR,Euro,6,Millions,,,1772,,
BEL,Belgium,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2014,2014,EUR,Euro,6,Millions,,,1953,,
CAN,Canada,EXPORT_TOTAL,Total international receipts,NAT,National currency,2008,2008,CAD,Canadian Dollar,6,Millions,,,19236,,
CAN,Canada,EXPORT_TOTAL,Total international receipts,NAT,National currency,2009,2009,CAD,Canadian Dollar,6,Millions,,,17644,,
CAN,Canada,EXPORT_TOTAL,Total international receipts,NAT,National currency,2010,2010,CAD,Canadian Dollar,6,Millions,,,19008,,
CAN,Canada,EXPORT_TOTAL,Total international receipts,NAT,National currency,2011,2011,CAD,Canadian Dollar,6,Millions,,,19746,,
CAN,Canada,EXPORT_TOTAL,Total international receipts,NAT,National currency,2012,2012,CAD,Canadian Dollar,6,Millions,,,20675,,
CAN,Canada,EXPORT_TOTAL,Total international receipts,NAT,National currency,2013,2013,CAD,Canadian Dollar,6,Millions,,,21584,,
CAN,Canada,EXPORT_TOTAL,Total international receipts,NAT,National currency,2014,2014,CAD,Canadian Dollar,6,Millions,,,22651,,
CAN,Canada,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2008,2008,CAD,Canadian Dollar,6,Millions,,,16544,,
CAN,Canada,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2009,2009,CAD,Canadian Dollar,6,Millions,,,15547,,
CAN,Canada,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2010,2010,CAD,Canadian Dollar,6,Millions,,,16320,,
CAN,Canada,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2011,2011,CAD,Canadian Dollar,6,Millions,,,16624,,
CAN,Canada,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2012,2012,CAD,Canadian Dollar,6,Millions,,,17388,,
CAN,Canada,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2013,2013,CAD,Canadian Dollar,6,Millions,,,18201,,
CAN,Canada,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2014,2014,CAD,Canadian Dollar,6,Millions,,,19296,,
CAN,Canada,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2008,2008,CAD,Canadian Dollar,6,Millions,,,2692,,
CAN,Canada,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2009,2009,CAD,Canadian Dollar,6,Millions,,,2097,,
CAN,Canada,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2010,2010,CAD,Canadian Dollar,6,Millions,,,2688,,
